title,date,description,mac,windows,android,website,image
Hand Cricket,July 2019,A fun cricket game to play that is based on a favourite childhood game that involves hands.,https://www.dropbox.com/s/pnz28tgu6sx7ms1/Hand%20Cricket%20Installer.dmg?dl=1,https://www.dropbox.com/s/er3tlrl0mnqb2wx/HandCricketInstall.zip?dl=1,None,None,PythonWide.png
CheerApp,November 2018,"An Android app that displays customizable quotes, jokes, and sounds of people laughing (which are proven to lighten up your mood).",None,None,https://www.dropbox.com/s/k7rfqa3xcndd0oh/CheerApp.apk?dl=1,None,MITWide.png
India Trip Blog,July 2016,A blog written with HTML and CSS to document my India Trip in 2016.,None,None,None,https://familyindiatrip.blogspot.com/,HTMLWide.png
